Date,Contest number,Word,Number of  reported results,Number in hard mode,1 try,2 tries,3 tries,4 tries,5 tries,6 tries,7 or more tries (X),percentHardmode,wordFreq,wordFreqNorm
2022-12-31 00:00:00,560,manly,20380,1899,0,2,17,37,29,12,2,0.09317958783120707,4.57e-06,0.002135514018691589
2022-12-30 00:00:00,559,molar,21204,1973,0,4,21,38,26,9,1,0.09304848141860027,9.77e-07,0.0004565420560747663
2022-12-29 00:00:00,558,havoc,20001,1919,0,2,16,38,30,12,2,0.09594520273986301,3.16e-06,0.0014766355140186916
2022-12-28 00:00:00,557,impel,20160,1937,0,3,21,40,25,9,1,0.09608134920634921,2.29e-07,0.00010700934579439253
2022-12-27 00:00:00,556,condo,20879,2012,0,2,17,35,29,14,3,0.09636476842760669,4.27e-06,0.001995327102803738
2022-12-26 00:00:00,555,judge,20011,2043,0,2,8,16,26,33,14,0.10209384838338914,8.91e-05,0.04163551401869159
2022-12-25 00:00:00,554,extra,15554,1562,1,5,20,35,28,10,1,0.10042432814710042,9.55e-05,0.044626168224299066
2022-12-24 00:00:00,553,poise,20281,1911,2,11,34,32,15,6,1,0.09422612297224003,1.1e-06,0.000514018691588785
2022-12-23 00:00:00,552,aorta,21937,2112,0,7,26,35,20,10,3,0.09627569859142089,8.32e-07,0.000388785046728972
2022-12-22 00:00:00,551,excel,20490,2034,0,1,13,34,34,15,2,0.0992679355783309,5.37e-06,0.0025093457943925236
2022-12-21 00:00:00,550,lunar,22180,2036,0,5,32,40,17,4,0,0.09179440937781785,5.89e-06,0.002752336448598131
2022-12-20 00:00:00,549,third,24137,2261,1,10,47,32,9,2,0,0.09367361312507769,0.000209,0.09766355140186916
2022-12-19 00:00:00,548,slate,26010,2422,6,14,33,27,13,5,1,0.09311803152633602,6.61e-06,0.003088785046728972
2022-12-18 00:00:00,547,taper,22166,2108,0,8,28,30,20,11,3,0.09510060452945954,2e-06,0.0009345794392523364
2022-12-17 00:00:00,546,chord,22336,2088,0,7,39,38,13,3,0,0.09348137535816618,4.47e-06,0.0020887850467289724
2022-12-16 00:00:00,545,probe,22853,2160,0,6,24,32,24,11,3,0.09451713123003544,9.77e-06,0.004565420560747663
2022-12-15 00:00:00,544,rival,22176,2127,0,7,27,35,22,8,1,0.09591450216450216,1.51e-05,0.00705607476635514
2022-12-14 00:00:00,543,usual,20824,2048,0,3,20,39,27,10,1,0.09834805993084902,4.17e-05,0.019485981308411213
2022-12-13 00:00:00,542,spoke,24101,2224,0,6,31,38,19,5,0,0.09227832870005394,4.07e-05,0.019018691588785046
2022-12-12 00:00:00,541,apply,22873,2150,0,5,28,38,22,7,1,0.09399728938049229,6.46e-05,0.03018691588785047
2022-12-11 00:00:00,540,naive,21947,2075,1,7,24,32,24,11,1,0.0945459516106985,5.62e-06,0.0026261682242990658
2022-12-10 00:00:00,539,knock,21157,2041,0,3,18,43,27,8,1,0.09646925367490665,2.24e-05,0.010467289719626167
2022-12-09 00:00:00,538,braid,23640,2165,0,10,36,35,14,3,0,0.09158206429780034,1.74e-06,0.0008130841121495328
2022-12-08 00:00:00,537,infer,21199,1863,0,3,19,33,26,14,3,0.08788150384452097,1.45e-06,0.000677570093457944
2022-12-07 00:00:00,536,joust,24899,2388,0,6,29,34,21,8,2,0.09590746616329973,2.95e-07,0.00013785046728971963
2022-12-06 00:00:00,535,amber,23509,2261,0,6,22,33,24,12,3,0.09617593262154919,9.33e-06,0.00435981308411215
2022-12-05 00:00:00,534,woken,23153,2200,0,2,10,25,36,23,4,0.09502008379043753,2.34e-06,0.0010934579439252337
2022-12-04 00:00:00,533,adore,25577,2398,2,17,32,29,15,5,1,0.09375610900418345,5.01e-06,0.002341121495327103
2022-12-03 00:00:00,532,torso,23873,2260,0,4,35,36,17,6,1,0.09466761613538306,2.57e-06,0.0012009345794392523
2022-12-02 00:00:00,531,chafe,24646,2343,0,6,30,33,19,9,2,0.09506613649273715,2.51e-07,0.00011728971962616823
2022-12-01 00:00:00,530,eject,22628,2200,0,2,11,35,36,14,2,0.0972246773908432,9.77e-07,0.0004565420560747663
2022-11-30 00:00:00,529,study,25690,2405,0,6,30,33,19,10,2,0.09361619307123395,0.000182,0.08504672897196262
2022-11-29 00:00:00,528,undue,23739,2316,0,3,19,35,29,13,2,0.0975609756097561,1.95e-06,0.000911214953271028
2022-11-28 00:00:00,527,tepid,26051,2484,0,10,38,35,13,3,0,0.09535142604890408,5.13e-07,0.0002397196261682243
2022-11-27 00:00:00,526,happy,25206,2356,0,6,28,39,19,6,1,0.09346980877568833,0.000224,0.10467289719626169
2022-11-26 00:00:00,525,clean,26381,2424,1,17,36,31,12,3,0,0.09188431067813957,9.33e-05,0.0435981308411215
2022-11-25 00:00:00,524,itchy,24197,2329,0,8,28,40,18,5,1,0.09625160143819482,2.19e-06,0.0010233644859813085
2022-11-24 00:00:00,523,feast,27705,2725,5,13,25,27,19,10,2,0.09835769716657643,8.91e-06,0.004163551401869158
2022-11-23 00:00:00,522,drive,26663,2451,1,12,32,30,18,6,1,0.09192513970670967,0.000135,0.06308411214953272
2022-11-22 00:00:00,521,prime,27437,2534,1,10,26,32,21,9,1,0.09235703611910923,6.46e-05,0.03018691588785047
2022-11-21 00:00:00,520,axiom,24288,2382,0,5,19,33,27,13,3,0.09807312252964427,1.05e-06,0.0004906542056074766
2022-11-20 00:00:00,519,brave,24991,2396,1,6,17,27,27,18,5,0.09587451482533713,2.14e-05,0.01
2022-11-19 00:00:00,518,avert,24749,2400,0,7,26,35,22,9,1,0.09697361509555942,1.38e-06,0.0006448598130841121
2022-11-18 00:00:00,517,glyph,29208,2899,0,2,23,49,20,5,1,0.09925362914270063,5.01e-07,0.0002341121495327103
2022-11-17 00:00:00,516,there,27465,2530,0,14,35,33,14,4,0,0.09211724012379392,0.00204,0.9532710280373833
2022-11-16 00:00:00,515,baker,25576,2541,0,5,16,23,24,22,10,0.09935095401939319,1.7e-05,0.00794392523364486
2022-11-15 00:00:00,514,snarl,27475,2650,0,5,21,31,24,15,4,0.09645131938125569,4.17e-07,0.00019485981308411214
2022-11-14 00:00:00,513,maple,26536,2467,1,6,26,36,21,8,1,0.09296804341272234,7.24e-06,0.003383177570093458
2022-11-13 00:00:00,512,inane,25085,2515,0,8,25,30,21,13,3,0.10025911899541559,5.01e-07,0.0002341121495327103
2022-11-12 00:00:00,511,valet,24660,2356,0,4,22,38,25,9,1,0.09553933495539335,1.48e-06,0.0006915887850467289
2022-11-11 00:00:00,510,medal,25993,2438,0,5,25,38,23,8,1,0.09379448313007348,2.45e-05,0.011448598130841122
2022-11-10 00:00:00,509,unite,27467,2575,1,11,31,33,18,5,1,0.09374886227108895,7.94e-06,0.0037102803738317757
2022-11-09 00:00:00,508,rainy,28984,2678,1,16,38,31,11,3,1,0.09239580458183826,5.5e-06,0.0025700934579439253
2022-11-08 00:00:00,507,spell,27213,2531,0,4,24,37,24,9,1,0.09300701870429574,2.34e-05,0.010934579439252336
2022-11-07 00:00:00,506,begin,26096,2439,0,6,26,36,23,7,1,0.09346259963212752,6.92e-05,0.03233644859813084
2022-11-06 00:00:00,505,stale,31068,3013,2,19,30,27,15,6,2,0.09698081627397966,2.69e-06,0.0012570093457943926
2022-11-05 00:00:00,504,dream,29743,2751,5,14,31,29,15,4,1,0.09249235114144505,8.13e-05,0.037990654205607474
2022-11-04 00:00:00,503,photo,27330,2565,0,5,34,43,15,3,0,0.0938529088913282,9.33e-05,0.0435981308411215
2022-11-03 00:00:00,502,aloud,29554,2819,1,18,31,30,15,4,1,0.09538471949651485,3.24e-06,0.001514018691588785
2022-11-02 00:00:00,501,inept,27670,2640,0,6,30,39,20,6,1,0.09541019154318757,1.35e-06,0.0006308411214953271
2022-11-01 00:00:00,500,piney,27502,3667,0,1,14,37,33,14,2,0.13333575739946185,3.02e-07,0.00014112149532710279
2022-10-31 00:00:00,499,aptly,26498,2572,0,3,26,41,23,7,1,0.09706392935315873,1.32e-06,0.0006168224299065421
2022-10-30 00:00:00,498,waltz,24672,2496,0,2,11,29,35,19,3,0.10116731517509728,2.4e-06,0.0011214953271028037
2022-10-29 00:00:00,497,libel,25156,2536,0,3,15,32,32,16,2,0.10081093973604707,2.19e-06,0.0010233644859813085
2022-10-28 00:00:00,496,sneak,27905,2636,0,7,28,36,21,7,1,0.094463357821179,9.77e-06,0.004565420560747663
2022-10-27 00:00:00,495,carry,27609,2615,0,4,22,35,24,12,3,0.09471549132529247,7.76e-05,0.03626168224299066
2022-10-26 00:00:00,494,flout,30063,2904,0,6,28,37,21,7,1,0.09659714599341383,1.78e-07,8.317757009345795e-05
2022-10-25 00:00:00,493,foggy,28953,2817,0,2,13,35,32,15,3,0.09729561703450419,1.55e-06,0.0007242990654205608
2022-10-24 00:00:00,492,fault,28947,2768,0,7,27,35,22,8,1,0.09562303520226621,4.37e-05,0.02042056074766355
2022-10-23 00:00:00,491,mummy,29279,3021,0,1,4,14,27,37,18,0.10317975340687865,3.72e-06,0.0017383177570093457
2022-10-22 00:00:00,490,spiel,29084,2810,0,7,32,36,19,6,1,0.09661669646541053,4.57e-07,0.00021355140186915886
2022-10-21 00:00:00,489,grove,28637,2794,0,4,18,30,28,17,3,0.09756608583301324,8.71e-06,0.004070093457943925
2022-10-20 00:00:00,488,denim,28741,2769,0,5,29,40,20,5,0,0.09634320308966285,3.31e-06,0.001546728971962617
2022-10-19 00:00:00,487,quirk,28322,2794,0,3,23,39,24,9,2,0.09865122519596074,1.35e-06,0.0006308411214953271
2022-10-18 00:00:00,486,exist,28612,2805,0,5,24,38,23,8,1,0.0980357891793653,5.37e-05,0.025093457943925233
2022-10-17 00:00:00,485,stein,31269,2965,1,12,34,32,16,5,1,0.09482234801240845,4.47e-06,0.0020887850467289724
2022-10-16 00:00:00,484,spade,30459,2854,1,8,29,36,19,6,1,0.0936997275025444,2.14e-06,0.001
2022-10-15 00:00:00,483,catch,30403,3123,0,7,18,20,15,16,23,0.10272012630332533,7.41e-05,0.034626168224299064
2022-10-14 00:00:00,482,floor,28906,2752,0,3,23,44,24,6,0,0.0952051477201965,8.71e-05,0.040700934579439255
2022-10-13 00:00:00,481,equal,27197,2677,0,5,23,35,25,11,2,0.0984299738941795,4.47e-05,0.02088785046728972
2022-10-12 00:00:00,480,ionic,29151,2947,0,2,13,25,28,21,11,0.10109430208226133,1.62e-06,0.0007570093457943925
2022-10-11 00:00:00,479,valid,28575,2752,0,4,28,38,21,8,1,0.0963079615048119,2.4e-05,0.011214953271028038
2022-10-10 00:00:00,478,enjoy,26878,2654,0,3,12,29,33,20,3,0.09874246595728849,0.000123,0.057476635514018694
2022-10-09 00:00:00,477,howdy,28408,2668,0,2,13,32,32,17,4,0.09391720642072655,1.2e-06,0.0005607476635514019
2022-10-08 00:00:00,476,vigor,26905,2642,0,2,15,35,31,14,2,0.09819736108530012,1.07e-06,0.0005
2022-10-07 00:00:00,475,dandy,29026,2840,0,2,11,23,29,24,11,0.09784331289189004,1.78e-06,0.0008317757009345794
2022-10-06 00:00:00,474,sloth,32522,2987,1,10,38,34,13,3,0,0.09184551995572228,1.26e-06,0.000588785046728972
2022-10-05 00:00:00,473,marsh,30935,2885,0,9,30,35,19,6,1,0.09326006141910458,7.41e-06,0.0034626168224299067
2022-10-04 00:00:00,472,bough,32014,3060,0,3,17,35,28,13,3,0.0955831823577185,5.37e-07,0.00025093457943925235
2022-10-03 00:00:00,471,sting,32288,2969,1,10,30,33,18,8,2,0.09195366699702676,6.31e-06,0.0029485981308411215
2022-10-02 00:00:00,470,twine,30088,2775,0,6,28,40,20,5,1,0.09222946024993353,8.51e-07,0.0003976635514018692
2022-10-01 00:00:00,469,leave,28202,2696,0,4,16,34,31,12,1,0.09559605701723282,0.000219,0.10233644859813085
2022-09-30 00:00:00,468,scorn,31223,2859,0,8,31,35,20,6,1,0.09156711398648432,1.35e-06,0.0006308411214953271
2022-09-29 00:00:00,467,scald,30477,2829,0,4,23,36,24,11,2,0.09282409685992715,1.48e-07,6.91588785046729e-05
2022-09-28 00:00:00,466,usurp,31355,3007,0,3,21,38,26,9,1,0.09590177005262318,5.01e-07,0.0002341121495327103
2022-09-27 00:00:00,465,soggy,30985,2888,0,2,18,38,28,11,2,0.09320639018880103,1.38e-06,0.0006448598130841121
2022-09-26 00:00:00,464,brisk,31706,2884,0,5,23,38,24,7,1,0.09096070144452154,1.58e-06,0.0007383177570093458
2022-09-25 00:00:00,463,admit,28994,2677,0,10,25,34,22,8,1,0.09232944747189073,3.8e-05,0.017757009345794394
2022-09-24 00:00:00,462,grate,32777,3077,1,14,29,28,16,8,3,0.0938768038563627,1.48e-06,0.0006915887850467289
2022-09-23 00:00:00,461,glory,31509,2893,0,6,30,39,19,5,0,0.09181503697356311,2.29e-05,0.010700934579439252
2022-09-22 00:00:00,460,saint,34455,3119,1,14,35,29,15,5,1,0.09052387171673197,2.57e-05,0.012009345794392523
2022-09-21 00:00:00,459,recap,31976,2900,0,5,30,35,21,8,1,0.09069301976482362,2.82e-06,0.0013177570093457945
2022-09-20 00:00:00,458,alike,31277,2843,0,6,20,33,27,12,2,0.09089746459059372,1.35e-05,0.006308411214953271
2022-09-19 00:00:00,457,trice,35050,3430,0,5,24,25,18,17,11,0.0978601997146933,2.51e-07,0.00011728971962616823
2022-09-18 00:00:00,456,stick,33102,3038,1,9,36,35,14,4,0,0.09177693190743762,5.75e-05,0.026869158878504672
2022-09-17 00:00:00,455,chute,33418,3073,0,11,37,36,12,3,0,0.09195643066610809,1.55e-06,0.0007242990654205608
2022-09-16 00:00:00,454,parer,37309,4130,0,0,4,11,15,22,48,0.1106971508215176,3.55e-08,1.6588785046728973e-05
2022-09-15 00:00:00,453,doubt,33344,3011,1,12,32,34,16,4,0,0.09030110364683301,7.94e-05,0.03710280373831776
2022-09-14 00:00:00,452,thyme,32142,2938,1,5,24,41,23,5,0,0.09140688196129675,1.17e-06,0.0005467289719626169
2022-09-13 00:00:00,451,alpha,29497,2706,0,3,19,40,28,9,1,0.09173814286198596,1.78e-05,0.008317757009345794
2022-09-12 00:00:00,450,booze,29147,2883,0,1,7,27,38,23,4,0.09891240951041273,4.47e-06,0.0020887850467289724
2022-09-11 00:00:00,449,tibia,27887,2675,0,1,14,40,30,12,2,0.09592283142682971,7.94e-07,0.0003710280373831776
2022-09-10 00:00:00,448,lofty,29237,2777,0,4,19,34,27,13,3,0.09498238533365257,2.19e-06,0.0010233644859813085
2022-09-09 00:00:00,447,theme,32172,2909,0,8,29,40,18,4,0,0.09042024120353102,4.17e-05,0.019485981308411213
2022-09-08 00:00:00,446,class,31962,3001,0,4,21,32,22,13,7,0.0938927476378199,0.000229,0.10700934579439253
2022-09-07 00:00:00,445,leery,30992,2873,0,3,17,37,28,12,2,0.09270134228187919,3.8e-07,0.00017757009345794393
2022-09-06 00:00:00,444,taunt,32734,3022,0,4,19,27,21,16,13,0.09231991201808518,9.12e-07,0.0004261682242990654
2022-09-05 00:00:00,443,whoop,32733,2970,0,1,16,47,29,7,1,0.09073412152873248,1.58e-06,0.0007383177570093458
2022-09-04 00:00:00,442,inter,32018,2889,0,6,25,36,23,8,1,0.09023049534636766,1.45e-05,0.006775700934579439
2022-09-03 00:00:00,441,gully,31191,2877,0,1,9,27,31,25,7,0.09223814561892854,1.29e-06,0.000602803738317757
2022-09-02 00:00:00,440,charm,35724,3149,1,12,32,34,16,5,1,0.0881480237375434,1.32e-05,0.006168224299065421
2022-09-01 00:00:00,439,fungi,31903,2928,0,2,18,41,28,9,1,0.09177820267686425,3.02e-06,0.001411214953271028
2022-08-31 00:00:00,438,prize,35343,3166,0,5,12,20,32,26,5,0.08957926604985429,3.89e-05,0.018177570093457943
2022-08-30 00:00:00,437,onset,33660,3009,0,4,29,40,21,6,1,0.0893939393939394,5.25e-06,0.002453271028037383
2022-08-29 00:00:00,436,chief,34281,3072,1,6,32,38,18,5,0,0.08961232169423296,0.000129,0.060280373831775695
2022-08-28 00:00:00,435,gauze,30214,2866,0,2,11,24,31,25,8,0.09485668895214139,7.76e-07,0.0003626168224299065
2022-08-27 00:00:00,434,ruder,31241,2784,0,2,16,33,29,16,4,0.08911366473544381,1.35e-07,6.308411214953271e-05
2022-08-26 00:00:00,433,irony,34716,3046,0,6,29,34,21,8,1,0.08774052310173983,7.24e-06,0.003383177570093458
2022-08-25 00:00:00,432,clown,36737,3175,1,8,29,36,20,6,1,0.08642512997795139,8.51e-06,0.003976635514018691
2022-08-24 00:00:00,431,needy,33700,2927,0,2,21,41,26,9,1,0.08685459940652819,3.8e-06,0.0017757009345794393
2022-08-23 00:00:00,430,woven,33549,2933,0,2,13,32,32,17,3,0.08742436436257414,3.63e-06,0.0016962616822429907
2022-08-22 00:00:00,429,merit,35888,3123,0,7,33,37,17,5,0,0.08702073116362015,1.2e-05,0.005607476635514019
2022-08-21 00:00:00,428,waste,35617,3186,1,7,19,27,24,17,5,0.08945166633910773,6.46e-05,0.03018691588785047
2022-08-20 00:00:00,427,treat,38245,3249,1,22,32,26,14,5,1,0.08495228134396653,5.62e-05,0.026261682242990653
2022-08-19 00:00:00,426,shrug,33965,2987,0,4,23,36,26,10,1,0.08794347122037391,2e-06,0.0009345794392523364
2022-08-18 00:00:00,425,twang,34938,3172,0,3,22,43,25,7,1,0.09078939836281413,3.63e-07,0.00016962616822429908
2022-08-17 00:00:00,424,twice,35815,3173,1,6,28,38,21,6,1,0.08859416445623342,6.92e-05,0.03233644859813084
2022-08-16 00:00:00,423,gruel,35105,3087,0,3,19,39,29,9,1,0.08793619142572283,2.75e-07,0.00012850467289719626
2022-08-15 00:00:00,422,poker,35376,3180,0,4,17,30,27,17,5,0.08989145183175033,9.33e-06,0.00435981308411215
2022-08-14 00:00:00,421,khaki,31652,2968,0,2,17,33,28,16,4,0.09376974598761531,1.1e-06,0.000514018691588785
2022-08-13 00:00:00,420,hunky,35276,3185,0,1,11,33,25,22,7,0.09028801451411725,5.25e-07,0.0002453271028037383
2022-08-12 00:00:00,419,label,34198,3076,0,4,18,32,29,15,2,0.08994678051348032,2.69e-05,0.012570093457943925
2022-08-11 00:00:00,418,glean,37301,3243,0,6,23,37,24,8,1,0.08694136886410551,5.37e-07,0.00025093457943925235
2022-08-10 00:00:00,417,cling,37654,3312,0,4,20,34,27,13,2,0.08795878259945822,3.09e-06,0.00144392523364486
2022-08-09 00:00:00,416,patty,36223,3019,0,2,16,39,29,12,1,0.08334483615382492,3.8e-06,0.0017757009345794393
2022-08-08 00:00:00,415,unfit,35516,3187,0,3,24,38,25,9,1,0.08973420430228629,3.31e-06,0.001546728971962617
2022-08-07 00:00:00,414,smear,36223,3190,0,2,16,39,29,12,2,0.08806559368357121,2.88e-06,0.0013457943925233645
2022-08-06 00:00:00,413,alien,38841,3395,3,17,31,29,15,4,0,0.0874076362606524,1.95e-05,0.00911214953271028
2022-08-05 00:00:00,412,buggy,37350,3428,0,1,9,29,34,22,5,0.09178045515394913,2.09e-06,0.0009766355140186915
2022-08-04 00:00:00,411,rhyme,37229,3336,0,4,22,39,25,8,1,0.08960756399580971,3.63e-06,0.0016962616822429907
2022-08-03 00:00:00,410,youth,38381,3327,1,5,17,31,29,15,3,0.08668351528099841,5.62e-05,0.026261682242990653
2022-08-02 00:00:00,409,coyly,34909,3380,0,0,4,17,28,35,15,0.09682316881033544,1.2e-07,5.607476635514018e-05
2022-08-01 00:00:00,408,quart,36662,3303,0,5,20,33,27,13,2,0.09009328459985816,1.02e-06,0.0004766355140186916
2022-07-31 00:00:00,407,cramp,39250,3369,1,8,26,33,19,10,2,0.0858343949044586,1.1e-06,0.000514018691588785
2022-07-30 00:00:00,406,bluff,37353,3171,0,2,14,42,31,10,1,0.08489277969640993,3.8e-06,0.0017757009345794393
2022-07-29 00:00:00,405,upset,37791,3213,0,5,30,38,20,6,1,0.08502024291497975,4.07e-05,0.019018691588785046
2022-07-28 00:00:00,404,stomp,40650,3490,0,7,26,32,21,11,2,0.08585485854858549,1.78e-06,0.0008317757009345794
2022-07-27 00:00:00,403,motto,38384,3285,0,1,11,36,36,14,1,0.08558253438932889,5.25e-06,0.002453271028037383
2022-07-26 00:00:00,402,cinch,39171,3507,0,2,15,24,22,25,13,0.08953052002757142,4.47e-07,0.0002088785046728972
2022-07-25 00:00:00,401,elope,39228,3339,0,4,22,32,26,13,2,0.08511777301927195,3.16e-07,0.00014766355140186918
2022-07-24 00:00:00,400,power,39813,3401,2,6,19,29,24,15,4,0.0854243588777535,0.000331,0.1546728971962617
2022-07-23 00:00:00,399,midge,36769,3111,0,2,18,39,28,10,2,0.08460931763170061,5.75e-07,0.00026869158878504675
2022-07-22 00:00:00,398,tryst,43099,3665,0,3,26,41,23,6,1,0.08503677579526207,3.63e-07,0.00016962616822429908
2022-07-21 00:00:00,397,aphid,39086,3367,0,6,24,36,23,9,2,0.08614337614491122,2.45e-07,0.00011448598130841121
2022-07-20 00:00:00,396,trite,42237,3685,0,4,14,22,22,23,15,0.08724577976655538,6.31e-07,0.00029485981308411215
2022-07-19 00:00:00,395,angry,39667,3358,0,5,27,38,21,7,1,0.08465475080041344,4.57e-05,0.021355140186915887
2022-07-18 00:00:00,394,flock,42574,3548,0,4,22,37,27,9,1,0.0833372480856861,4.9e-06,0.002289719626168224
2022-07-17 00:00:00,393,wacky,39611,3345,0,3,18,39,27,10,2,0.08444623968089672,1.95e-06,0.000911214953271028
2022-07-16 00:00:00,392,roomy,38769,3280,0,2,17,41,28,10,2,0.0846036781964972,4.68e-07,0.00021869158878504673
2022-07-15 00:00:00,391,wedge,39234,3353,0,2,11,32,37,17,2,0.08546158943773258,4.17e-06,0.0019485981308411215
2022-07-14 00:00:00,390,liver,40549,3388,0,4,16,26,25,20,8,0.08355323189227848,1.51e-05,0.00705607476635514
2022-07-13 00:00:00,389,bland,46246,3727,0,7,31,38,18,4,0,0.08059075379492281,3.16e-06,0.0014766355140186916
2022-07-12 00:00:00,388,night,46910,3870,1,8,27,27,17,13,7,0.08249840119377531,0.000407,0.19018691588785047
2022-07-11 00:00:00,387,madam,40545,3430,0,3,13,35,34,14,2,0.0845973609569614,3.89e-06,0.0018177570093457945
2022-07-10 00:00:00,386,berth,41785,3494,0,7,24,35,24,9,1,0.08361852339356228,2.75e-06,0.0012850467289719626
2022-07-09 00:00:00,385,stead,47094,3933,1,6,20,27,28,16,3,0.0835138234169958,1.55e-06,0.0007242990654205608
2022-07-08 00:00:00,384,voice,42806,3484,1,5,24,35,25,9,1,0.08139045928140914,0.000117,0.05467289719626168
2022-07-07 00:00:00,383,agape,43407,3671,0,2,18,36,27,15,3,0.08457161287349967,4.47e-07,0.0002088785046728972
2022-07-06 00:00:00,382,fluff,47344,4049,0,0,4,25,44,23,4,0.08552298073673538,1.58e-06,0.0007383177570093458
